"city","name","data"
95,ANTIOQUIA-SAN LUIS,"{""city_code"": 660, ""city_name"": ""SAN LUIS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
96,ANTIOQUIA-SAN PEDRO,"{""city_code"": 664, ""city_name"": ""SAN PEDRO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
544,CUNDINAMARCA-SOPO,"{""city_code"": 758, ""city_name"": ""SOPO"", ""department_code"": 25, ""department_name"": ""CUNDINAMARCA""}"
85,ANTIOQUIA-RIONEGRO,"{""city_code"": 615, ""city_name"": ""RIONEGRO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
97,ANTIOQUIA-SAN PEDRO DE URABA,"{""city_code"": 665, ""city_name"": ""SAN PEDRO DE URABA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
98,ANTIOQUIA-SAN RAFAEL,"{""city_code"": 667, ""city_name"": ""SAN RAFAEL"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
99,ANTIOQUIA-SAN ROQUE,"{""city_code"": 670, ""city_name"": ""SAN ROQUE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
100,ANTIOQUIA-SAN VICENTE,"{""city_code"": 674, ""city_name"": ""SAN VICENTE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
101,ANTIOQUIA-SANTA BARBARA,"{""city_code"": 679, ""city_name"": ""SANTA BARBARA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
102,ANTIOQUIA-SANTA ROSA DE OSOS,"{""city_code"": 686, ""city_name"": ""SANTA ROSA DE OSOS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
103,ANTIOQUIA-SANTO DOMINGO,"{""city_code"": 690, ""city_name"": ""SANTO DOMINGO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
104,ANTIOQUIA-EL SANTUARIO,"{""city_code"": 697, ""city_name"": ""EL SANTUARIO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
105,ANTIOQUIA-SEGOVIA,"{""city_code"": 736, ""city_name"": ""SEGOVIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
87,ANTIOQUIA-SABANETA,"{""city_code"": 631, ""city_name"": ""SABANETA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
106,ANTIOQUIA-SONSON,"{""city_code"": 756, ""city_name"": ""SONSON"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
107,ANTIOQUIA-SOPETRAN,"{""city_code"": 761, ""city_name"": ""SOPETRAN"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
108,ANTIOQUIA-TAMESIS,"{""city_code"": 789, ""city_name"": ""TAMESIS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
109,ANTIOQUIA-TARAZA,"{""city_code"": 790, ""city_name"": ""TARAZA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
110,ANTIOQUIA-TARSO,"{""city_code"": 792, ""city_name"": ""TARSO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
111,ANTIOQUIA-TITIRIBI,"{""city_code"": 809, ""city_name"": ""TITIRIBI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
112,ANTIOQUIA-TOLEDO,"{""city_code"": 819, ""city_name"": ""TOLEDO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
113,ANTIOQUIA-TURBO,"{""city_code"": 837, ""city_name"": ""TURBO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
116,ANTIOQUIA-VALDIVIA,"{""city_code"": 854, ""city_name"": ""VALDIVIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
117,ANTIOQUIA-VALPARAISO,"{""city_code"": 856, ""city_name"": ""VALPARAISO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
118,ANTIOQUIA-VEGACHI,"{""city_code"": 858, ""city_name"": ""VEGACHI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
119,ANTIOQUIA-VENECIA,"{""city_code"": 861, ""city_name"": ""VENECIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
120,ANTIOQUIA-VIGIA DEL FUERTE,"{""city_code"": 873, ""city_name"": ""VIGIA DEL FUERTE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
121,ANTIOQUIA-YALI,"{""city_code"": 885, ""city_name"": ""YALI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
122,ANTIOQUIA-YARUMAL,"{""city_code"": 887, ""city_name"": ""YARUMAL"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
123,ANTIOQUIA-YOLOMBO,"{""city_code"": 890, ""city_name"": ""YOLOMBO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
124,ANTIOQUIA-YONDO,"{""city_code"": 893, ""city_name"": ""YONDO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
125,ANTIOQUIA-ZARAGOZA,"{""city_code"": 895, ""city_name"": ""ZARAGOZA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
